Entity ID,1.0 * Avg Cpu Percent,Entity Name,Health,Avg Cpu Percent,Avg Load Average One Minute,Avg Memory Used Bytes / Memory Total Bytes * 100,Apm Application Names,Apm Application Ids,Avg Cpu User Percent,Avg Cpu System Percent,Avg Cpu Io Wait Percent,Avg Cpu Idle Percent,Avg Cpu Steal Percent,Avg Disk Free Bytes,Avg Disk Free Percent,Avg Disk Read Utilization Percent,Avg Disk Reads Per Second,Avg Disk Total Bytes,Avg Disk Used Bytes,Avg Disk Used Percent,Avg Disk Utilization Percent,Avg Disk Write Utilization Percent,Avg Disk Writes Per Second,Avg Load Average Fifteen Minute,Avg Load Average Five Minute,Avg Memory Free Bytes / Memory Total Bytes * 100,Avg Memory Free Bytes,Avg Memory Total Bytes,Avg Memory Used Bytes,Avg Swap Free Bytes,Avg Swap Total Bytes,Avg Swap Used Bytes
4866497947274429678,100.0,bankevaluator,,100.0,1.8928333302338918,13.265694025340167,,,48.935944366455075,3.240327819188436,0.0,'-8.88178499109464e-17,47.8237278620402,16686272324.266666,39.4700647354126,0.0,0.0,42275766272.0,23442432068.266666,55.45122890472412,0.13702056693534057,0.13702056693534057,3.2830392916997275,1.875611122449239,1.923791664838791,86.73430582442329,1385564021.3333333,1597480960.0,211916936.26666668,3071991808.0,3071991808.0,0.0
7568941985319751788,100.0,national,,100.0,1.069387044509252,45.74792638104444,,,50.78871231079101,1.6445262114206949,0.0,1.5110075118165355e-16,47.566761334737144,16241860915.2,38.41884422302246,0.0003212176884214083,0.007179389894008637,42275766272.0,23886843562.666668,56.50244928995768,0.7502125523984432,0.7498912913103898,15.527418243885041,1.032024379571279,1.0594094733397166,54.25207361895554,2039211874.1333334,3758772224.0,1719560349.8666666,3049635840.0,3071991808.0,22355968.0
221790625329350583,92.395698415822,ip-176-0-1-169,,92.395698415822,2.2426149372396798,35.76424548966902,|admin.konnexe.com|,|224383719|,31.526016103810278,6.442599091036566,0.8792832991638189,7.604301396050844,53.54780032716948,18116466193.655174,57.39900588989258,0.0,0.0,31562334208.0,12055685684.965517,38.19643237673003,3.347383194956286,3.3471567075828026,28.248023320888652,2.273347694298317,2.2372701209166954,64.23575451033098,2661901382.62069,4143955968.0,1482054585.3793104,0.0,0.0,0.0
5564415564130243626,33.17008384068807,Inotary,,33.17008384068807,0.7688959435674182,30.510170880301487,|app.myinotary.com|,|125151366|,12.255778861673255,6.306109834135625,0.013844295453868415,66.82991589161388,14.5943511034313,29298446479.7193,69.30317058897855,0.0,0.0,42275766272.0,10830258014.31579,25.618123707018402,0.10285252143155064,0.10285252143155064,3.530696517542789,0.6573049295366856,0.7397138408401556,69.48982905997119,2612661737.5438595,3759775744.0,1147114004.2105262,0.0,0.0,0.0
7854769695701117034,20.64694255987803,National-ip-172-16-1-43.ec2.internal,,20.64694255987803,0.258660546123671,52.17566059883243,|AMG National|,|115905022|,6.924036149183909,4.099786567687988,0.02440728823033472,79.35305722554524,9.598712615172069,14120872960.0,33.40181407928467,0.010699627170106396,0.1457904877762,42275766272.0,26007831620.266666,61.519480005900064,0.1257836151868105,0.1150839885075887,3.7843200246493023,0.22418259531259538,0.2467385374009609,47.824339514649516,1798087916.8,3759775744.0,1961687831.4666667,3060318331.733333,3071991808.0,11673474.85
3477633791386346555,11.450207250458854,ip-10-2-0-160.us-west-2.compute.internal,,11.450207250458854,0.15247023863984005,24.787623423868304,,,5.7159842891352515,0.36125383978443487,0.0029614615653242382,88.54979276657104,5.370007689510073,13818892946.285715,64.38387734549386,0.0,0.00029785734867411,21463281664.0,7644388736.0,35.61612367630005,0.03754531605435269,0.03754531605435269,0.633800553956202,0.17047619074583054,0.15336309572947876,75.21237690911998,2839520278.857143,3775336448.0,935816181.7142857,0.0,0.0,0.0
8778858556093673093,9.110059436162313,bankevaluator,,9.110059436162313,0.0689444438185698,13.668326196096464,,,1.912090531984965,2.967575172583262,0.022051478332529465,90.88994064331055,4.2083423137664795,16694888669.866667,39.49044583638509,0.0,0.0,42275766272.0,23433815927.466667,55.43084799448649,0.1080037645995617,0.1080037645995617,3.2533496459325155,0.09104166636243463,0.06255555567331612,86.33167405429775,1379132055.4666667,1597480960.0,218348908.53333333,3071991808.0,3071991808.0,0.0
5072954041032710808,6.604602551460266,National-Developmentb-ip-172-16-51-226.ec2.internal,,6.604602551460266,0.05795007771812379,22.452830605136576,,,1.5532699048519134,2.05887051820755,0.024825008027255534,93.39539731343588,2.9676371196905773,14271642555.733334,33.758447583516435,1.113337833279123e-05,0.0005558901776870092,42275766272.0,25857061785.6,61.16284650166829,0.10732796862721443,0.10731683534880479,3.3942375421524047,0.010722222363498683,0.03866822075409194,77.54716979205023,2915599680.0,3759775744.0,844176078.9333333,3061768192.0,3071991808.0,10223616.0
8876104653551377319,4.156409609317779,dome,,4.156409609317779,0.06986111073444287,19.21409828982577,|AMG Dome|,|115872161|,1.992631975809733,0.4052181159456571,0.02459406554698944,95.8435905456543,1.733965449531873,6053891165.866667,72.77375551859538,0.0,0.0,8318783488.0,2162238348.8,25.99224224090576,0.05852794817959269,0.058082544182737665,0.7857401192188262,0.06123611068469472,0.06611111077169578,80.785901629126,3189641860.266667,3948265472.0,758623608.5333333,0.0,0.0,0.0
3255879250344016268,2.4268505136171976,ip-10-3-0-153.us-west-2.compute.internal,,2.4268505136171976,0.009708333341404796,25.449038753835097,|qwinix.io|,|301596375|,0.8941697080930074,0.5196021854877472,0.00027612106253703436,97.57314923604329,1.0128024955590567,3613481591.4666667,33.700130971272785,0.0,0.0,10722455552.0,7108973960.533334,66.29986610412598,0.05419297125190496,0.05305984544878205,0.46646891832351683,0.05150000068048636,0.017972222141300637,74.5509613591214,2815987865.6,3777265664.0,961277802.6666666,2047995904.0,2047995904.0,0.0
