Event,Date-Time,Reason,Duration,"Duration (in mins.)","Monitor URL"
Down,"2019-05-08 22:23:58","No Response","0 hrs, 4 mins",5,prod-rad-api.qwinix.io
Started,"2019-05-08 22:23:58",Started,"0 hrs, 0 mins",0,prod-rad-api.qwinix.io
